Start Time,End Time,Product,Count,Hours,Cost,Currency,Username,Hostname,Project,Session ID,Session Status,External IP,Version
2025-11-29 01:58:48,2025-11-29 01:58:59,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 17:28:09,2025-11-28 17:28:20,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 12:55:04,2025-11-28 12:55:14,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 21:32:36,2025-11-28 21:32:44,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:20:35,2025-11-29 02:20:46,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 15:33:58,2025-11-28 15:34:05,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 15:00:05,2025-11-28 15:00:14,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 01:11:00,2025-11-29 01:11:12,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 12:55:07,2025-11-28 12:55:14,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 17:37:53,2025-11-28 17:38:01,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 19:12:46,2025-11-28 19:12:57,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 13:29:02,2025-11-28 13:29:10,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 15:33:55,2025-11-28 15:34:05,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 21:43:31,2025-11-28 21:43:42,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:18:09,2025-11-29 02:19:22,Ansys Discovery Enterprise,1,0.02,0.4,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 19:42:18,2025-11-28 19:42:26,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 21:32:32,2025-11-28 21:32:44,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:37:18,2025-11-29 02:37:29,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 17:26:30,2025-11-28 17:26:41,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 17:37:50,2025-11-28 17:38:01,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 19:12:49,2025-11-28 19:12:57,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 17:29:41,2025-11-28 17:29:52,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:37:21,2025-11-29 02:37:29,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 01:11:03,2025-11-29 01:11:12,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:18:12,2025-11-29 02:19:19,Ansys BladeModeler,1,0.02,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 13:28:58,2025-11-28 13:29:10,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:20:38,2025-11-29 02:20:46,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 01:58:03,2025-11-29 01:58:14,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 17:26:33,2025-11-28 17:26:41,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 21:43:34,2025-11-28 21:43:42,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 17:28:12,2025-11-28 17:28:20,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 17:29:44,2025-11-28 17:29:52,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 01:58:06,2025-11-29 01:58:14,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 01:58:51,2025-11-29 01:58:59,Ansys BladeModeler,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 19:42:16,2025-11-28 19:42:26,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 15:00:02,2025-11-28 15:00:14,Ansys Discovery Enterprise,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:34:04,2025-11-29 02:41:24,Ansys CFD PrepPost,1,0.12,1.7,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 01:54:27,2025-11-29 02:00:41,Ansys CFD PrepPost,1,0.1,1.5,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:19:45,2025-11-29 02:25:08,Ansys CFD PrepPost,1,0.09,1.3,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 12:52:32,2025-11-28 12:52:59,Ansys CFD PrepPost,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 17:23:10,2025-11-28 17:41:50,Ansys CFD PrepPost,1,0.31,4.4,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 15:28:50,2025-11-28 15:42:20,Ansys CFD PrepPost,1,0.23,3.2,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 00:56:04,2025-11-29 00:57:55,Ansys CFD PrepPost,1,0.03,0.4,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 13:20:37,2025-11-28 13:35:28,Ansys CFD PrepPost,1,0.25,3.5,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 01:03:45,2025-11-29 01:13:37,Ansys CFD PrepPost,1,0.16,2.3,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 21:27:44,2025-11-28 21:52:38,Ansys CFD PrepPost,1,0.42,5.8,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 19:08:20,2025-11-28 19:51:15,Ansys CFD PrepPost,1,0.72,10,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 14:59:43,2025-11-28 15:27:46,Ansys CFD PrepPost,1,0.47,6.5,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 12:54:25,2025-11-28 13:20:16,Ansys CFD PrepPost,1,0.43,6,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:41:27,2025-11-29 03:43:34,Ansys CFD Enterprise Solver,1,1.03,29,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:00:44,2025-11-29 02:16:35,Ansys CFD Enterprise Solver,1,0.26,7.4,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 01:13:27,2025-11-29 01:13:32,Ansys CFD Enterprise Solver,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 01:13:40,2025-11-29 01:54:10,Ansys CFD Enterprise Solver,1,0.68,18.9,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 17:41:53,2025-11-28 19:07:51,Ansys CFD Enterprise Solver,1,1.43,40.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 21:52:26,2025-11-28 21:52:31,Ansys CFD Enterprise Solver,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 17:41:38,2025-11-28 17:41:43,Ansys CFD Enterprise Solver,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 13:35:17,2025-11-28 13:35:22,Ansys CFD Enterprise Solver,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:41:14,2025-11-29 02:41:19,Ansys CFD Enterprise Solver,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 21:52:41,2025-11-29 00:54:07,Ansys CFD Enterprise Solver,1,3.02,84.7,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 13:35:32,2025-11-28 14:58:36,Ansys CFD Enterprise Solver,1,1.38,38.8,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 16:23:57,2025-11-28 17:22:51,Ansys CFD Enterprise Solver,1,0.98,27.5,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:25:11,2025-11-29 02:33:42,Ansys CFD Enterprise Solver,1,0.14,4,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 12:17:27,2025-11-28 12:52:24,Ansys CFD Enterprise Solver,1,0.58,16.3,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 15:42:23,2025-11-28 16:23:12,Ansys CFD Enterprise Solver,1,0.68,19,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 19:51:18,2025-11-28 21:25:24,Ansys CFD Enterprise Solver,1,1.57,43.9,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:24:58,2025-11-29 02:25:03,Ansys CFD Enterprise Solver,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 19:51:03,2025-11-28 19:51:08,Ansys CFD Enterprise Solver,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 12:01:42,2025-11-28 12:02:36,Ansys CFD Enterprise Solver,1,0.02,0.4,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-28 15:42:09,2025-11-28 15:42:14,Ansys CFD Enterprise Solver,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
2025-11-29 02:00:31,2025-11-29 02:00:36,Ansys CFD Enterprise Solver,1,0.01,0.1,AEC,sgutteridge,SGutteridge-LT.corp.arete.com,,520287ef-828f-4e04-b470-8f264a68d083,COMPLETED,"98.210.102.215,136.226.6.56",22.2
